#hg18.knownGene.name	hg18.knownGene.chrom	hg18.knownGene.strand	hg18.knownGene.txStart	hg18.knownGene.txEnd	hg18.kgXref.geneSymbol
uc001abj.1	chr1	-	658372	658404	DQ599874
uc001abk.1	chr1	-	658404	658435	DQ574670
uc001abl.1	chr1	-	661778	661810	DQ599872
uc001abm.2	chr1	-	664102	669599	AK310751
uc001abo.1	chr1	-	690107	703869	BC006361
uc009vji.1	chr1	-	79157	735413	AK125248
uc009vjn.1	chr1	+	752926	778765	LOC643837
uc001abp.1	chr1	+	752926	778860	LOC643837
uc001abq.1	chr1	+	752926	778860	LOC643837
uc009vjo.1	chr1	+	752926	778860	LOC643837
uc001abr.1	chr1	+	752926	779603	LOC643837
uc001abs.1	chr1	+	781760	784444	AK091100
uc001abt.2	chr1	-	793319	802146	BC047940
uc001abu.1	chr1	+	836677	840191	AK056486
uc001abv.1	chr1	+	850392	861139	SAMD11
uc001abw.1	chr1	+	850983	869824	SAMD11
uc001abx.1	chr1	+	861014	869824	SAMD11
uc009vjp.1	chr1	-	869445	872303	DKFZp564C186
uc001aby.2	chr1	-	869445	883781	NOC2L
uc001abz.2	chr1	-	869445	884542	NOC2L
uc009vjq.1	chr1	-	869445	884542	NOC2L
uc009vjr.1	chr1	-	883513	884542	NOC2L
uc001acb.1	chr1	+	886691	887721	KLHL17
uc001aca.1	chr1	+	885829	890958	KLHL17
uc001acc.1	chr1	+	887323	890958	KLHL17
uc001acd.1	chr1	+	891739	900347	PLEKHN1
uc001ace.1	chr1	+	891739	900347	PLEKHN1
uc001acf.1	chr1	+	891739	900347	PLEKHN1
uc001acg.1	chr1	-	900446	901884	C1orf170
uc001ach.1	chr1	-	900446	907336	C1orf170
uc001aci.1	chr1	-	924206	925333	HES4
uc001acj.2	chr1	+	938709	939782	ISG15
uc001ack.1	chr1	+	945365	981355	AGRN
uc009vjs.1	chr1	+	984945	987299	AK310350
uc001acl.1	chr1	+	984979	991696	BC033949
uc009vjt.1	chr1	-	1007060	1012447	C1orf159
uc001acm.2	chr1	-	1007060	1017346	C1orf159
uc009vju.1	chr1	-	1007060	1017346	UNQ2998
uc001acn.2	chr1	-	1007060	1017417	C1orf159
uc001acp.2	chr1	-	1007060	1031370	C1orf159
uc001acu.2	chr1	-	1007060	1041599	C1orf159
uc001act.2	chr1	-	1007060	1041599	C1orf159
uc001acr.2	chr1	-	1007060	1041599	UNQ2998
uc001acs.2	chr1	-	1007060	1041599	UNQ2998
uc001acv.2	chr1	+	1062259	1069295	BC028014
uc001acw.1	chr1	+	1092399	1092423	CS444397
uc001acx.1	chr1	-	1098298	1104798	AK128833
uc001acz.1	chr1	+	1104939	1111104	TTLL10
uc001acy.1	chr1	+	1099145	1123176	TTLL10
uc001ada.1	chr1	-	1128750	1130923	TNFRSF18
uc001adb.1	chr1	-	1128750	1131952	TNFRSF18
uc001adc.1	chr1	-	1128750	1131952	TNFRSF18
uc001add.1	chr1	-	1128750	1131952	TNFRSF18
uc001ade.1	chr1	-	1136568	1139375	TNFRSF4
uc001adf.2	chr1	-	1136583	1139375	TNFRSF4
uc001adg.1	chr1	-	1142150	1146594	SDF4
uc001adj.1	chr1	-	1147966	1149211	SDF4
uc001adh.2	chr1	-	1142150	1157310	SDF4
uc001adi.2	chr1	-	1142150	1157310	SDF4
uc009vjv.1	chr1	-	1142150	1157310	SDF4
uc009vjw.1	chr1	-	1142150	1157310	SDF4
uc001adk.1	chr1	+	1157491	1160283	B3GALT6
uc001adl.1	chr1	-	1167695	1171965	FAM132A
uc001adm.1	chr1	-	1179154	1193235	UBE2J2
uc001adn.1	chr1	-	1179154	1199051	UBE2J2
uc001ado.1	chr1	-	1179154	1199097	UBE2J2
uc001adp.1	chr1	-	1179154	1199097	UBE2J2
uc001adq.1	chr1	-	1179154	1199097	UBE2J2
uc001adr.1	chr1	-	1179154	1199097	UBE2J2
uc001ads.1	chr1	-	1179154	1199097	UBE2J2
uc001adt.1	chr1	+	1205678	1217272	SCNN1D
uc001adu.1	chr1	+	1205678	1217272	SCNN1D
uc001adx.2	chr1	+	1207399	1217272	SCNN1D
uc001adv.1	chr1	+	1207438	1217272	SCNN1D
uc001adw.1	chr1	+	1207438	1217272	SCNN1D
uc001ady.1	chr1	-	1218806	1224198	ACAP3
uc001adz.1	chr1	-	1218806	1228524	ACAP3
uc001aea.1	chr1	-	1218806	1231172	ACAP3
uc001aeb.1	chr1	-	1218806	1233132	ACAP3
uc001aec.1	chr1	-	1223986	1234852	KIAA1716
uc001aed.1	chr1	+	1233856	1236920	PUSL1
uc009vjx.1	chr1	+	1234328	1236920	PUSL1
uc009vjy.1	chr1	-	1236827	1242693	DKFZp434A1923
uc001aee.1	chr1	-	1236827	1249909	CPSF3L
uc001aef.1	chr1	-	1236827	1249909	DKFZp434A1923
uc009vjz.1	chr1	-	1236827	1249909	CPSF3L
uc001aeg.1	chr1	-	1236827	1249909	CPSF3L
uc001aeh.1	chr1	-	1236827	1249909	CPSF3L
uc001aei.1	chr1	-	1236827	1249909	CPSF3L
uc001aej.1	chr1	-	1236827	1249909	DKFZp434A1923
uc001aek.1	chr1	-	1236827	1249909	DKFZp434A1923
uc001aem.1	chr1	-	1243921	1249909	CPSF3L
uc001ael.1	chr1	-	1243921	1249909	DKFZp434A1923
uc001aen.1	chr1	-	1243939	1249909	DKFZp434A1923
uc001aeo.1	chr1	+	1250005	1254139	GLTPD1
uc001aep.1	chr1	+	1256588	1259707	TAS1R3
uc001aeq.1	chr1	-	1260520	1265420	DVL1
uc009vka.1	chr1	-	1260520	1265420	DVL1
uc001aeu.1	chr1	-	1260526	1267367	DVL1
uc001aer.2	chr1	-	1260520	1274355	DVL1
uc001aev.1	chr1	-	1277933	1279507	UNQ662
uc001aew.1	chr1	-	1277933	1283778	MXRA8
uc001aez.1	chr1	-	1277933	1283778	MXRA8
uc001aex.2	chr1	-	1277934	1283778	MXRA8
uc001aey.2	chr1	-	1277934	1283778	MXRA8
uc001afa.1	chr1	-	1277933	1287020	MXRA8
uc001afb.1	chr1	-	1298972	1300109	AURKAIP1
uc009vkb.1	chr1	-	1298972	1300425	AURKAIP1
uc001afd.2	chr1	-	1298972	1300443	AURKAIP1
uc001afc.2	chr1	-	1298972	1300681	AURKAIP1
uc001afe.1	chr1	-	1310953	1316796	FLJ00183
uc001aff.1	chr1	-	1310953	1318046	CCNL2
uc001afg.1	chr1	-	1310953	1323585	CCNL2
uc001afl.1	chr1	-	1315472	1323609	FLJ00183
uc001afh.1	chr1	-	1310953	1324553	CCNL2
uc001afi.1	chr1	-	1310953	1324553	CCNL2
uc001afj.1	chr1	-	1310953	1324553	CCNL2
uc001afk.1	chr1	-	1310953	1324553	CCNL2
uc009vkc.1	chr1	+	1324774	1326513	BC112999
uc001afm.1	chr1	+	1324772	1327280	LOC148413
uc009vkd.1	chr1	+	1324774	1327280	BC068600
uc001afn.1	chr1	+	1324772	1327938	CR595843
uc001afo.2	chr1	-	1327138	1332556	MRPL20
uc001afp.2	chr1	-	1343664	1346513	hCG_20426
uc001afq.2	chr1	-	1343664	1346513	hCG_20426
uc009vke.1	chr1	+	1364328	1365030	VWA1
uc001afr.1	chr1	+	1360771	1366009	VWA1
uc001afs.1	chr1	+	1360771	1366009	VWA1
uc001aft.1	chr1	+	1374931	1394919	ATAD3C
uc001afu.1	chr1	+	1387842	1395401	ATAD3C
uc001afw.1	chr1	+	1403079	1408710	ATAD3B
uc001afv.1	chr1	+	1397026	1421445	ATAD3B
uc001afx.1	chr1	+	1403079	1421445	ATAD3B
uc001afy.1	chr1	+	1415323	1421445	ATAD3B
uc001afz.1	chr1	+	1437417	1459927	ATAD3A
uc001aga.1	chr1	+	1437417	1459927	ATAD3A
uc001agb.1	chr1	+	1437772	1459927	ATAD3A
uc001agc.1	chr1	+	1457311	1459927	AX747755
uc009vkf.1	chr1	-	1460020	1465603	C1orf70
uc001agd.1	chr1	-	1466915	1500125	SSU72
uc009vkg.1	chr1	-	1468422	1500125	SSU72
uc001age.1	chr1	-	1487594	1500125	SSU72
uc001agf.1	chr1	+	1525681	1533029	AK094692
uc001agl.1	chr1	+	1541147	1554809	MIB2
uc001agg.1	chr1	+	1540746	1555848	MIB2
uc001agh.1	chr1	+	1540746	1555848	MIB2
uc001agi.1	chr1	+	1540746	1555848	MIB2
uc001agj.1	chr1	+	1540746	1555848	DKFZp434A0311
uc001agk.1	chr1	+	1540746	1555848	MIB2
uc001agm.1	chr1	+	1541147	1555848	MIB2
uc009vkh.1	chr1	+	1549016	1555848	MIB2
uc001agn.1	chr1	+	1550233	1555848	MIB2
uc001ago.1	chr1	+	1554348	1555848	DKFZp434A0311
uc001agp.1	chr1	+	1557422	1559893	MMP23B
uc001agq.1	chr1	+	1557422	1559893	mifr-2
uc001agr.1	chr1	+	1558024	1559893	mifr-1
uc009vki.1	chr1	+	1558429	1559893	mifr-1
uc009vkj.1	chr1	-	1560962	1566597	CDC2L1
uc009vkk.1	chr1	-	1560962	1567044	CDC2L2
uc001ahb.2	chr1	-	1566885	1570488	CDC2L1
uc001ahc.1	chr1	-	1576685	1580332	CDC2L1
uc001ahe.2	chr1	-	1582801	1591441	KIAA0447
uc009vkl.1	chr1	-	1580852	1614103	SLC35E2
uc001ahf.2	chr1	-	1582801	1614103	LOC728661
uc001ahg.2	chr1	-	1582801	1614103	LOC728661
uc009vkn.1	chr1	-	1591741	1614103	SLC35E2
uc001ahi.1	chr1	+	1621237	1623107	MMP21/22B
uc009vko.1	chr1	+	1621645	1623107	MMP21/22B
uc001ahj.2	chr1	-	1624029	1629544	CDC2L2
uc009vkp.1	chr1	-	1624029	1630251	CDC2L2
uc009vkq.1	chr1	-	1624029	1630251	CDC2L2
uc001ags.1	chr1	-	1560962	1637777	CDC2L1
uc001agt.1	chr1	-	1560962	1637777	CDC2L1
uc001ahu.1	chr1	-	1637644	1645331	CDC2L2
uc001ahv.1	chr1	-	1637644	1645331	CDC2L2
uc001aht.1	chr1	-	1630816	1645403	CDC2L2
uc001ahw.1	chr1	-	1637644	1645403	CDC2L2
uc001aha.1	chr1	-	1560962	1645635	CDC2L1
uc001agw.1	chr1	-	1560962	1645635	CDC2L1
uc001agv.1	chr1	-	1560962	1645635	CDC2L1
uc001agy.1	chr1	-	1560962	1645635	CDC2L1
uc001agx.1	chr1	-	1560962	1645635	CDC2L1
uc001agz.1	chr1	-	1560962	1645635	CDC2L1
uc009vkr.1	chr1	-	1624029	1645651	CDC2L2
uc009vks.1	chr1	-	1624029	1645651	CDC2L2
uc009vkt.1	chr1	-	1630092	1645651	CDC2L1
uc009vku.1	chr1	-	1630092	1645651	CDC2L2
uc009vkv.1	chr1	-	1630092	1645651	CDC2L2
uc001aia.1	chr1	-	1648684	1652525	AK309762
uc001ahx.1	chr1	+	1645913	1653203	AK097814
uc009vkm.1	chr1	-	1591076	1661003	SLC35E2
uc001ahh.2	chr1	-	1582801	1667291	LOC728661
uc001ahy.2	chr1	-	1646138	1667291	SLC35E2
uc001ahz.2	chr1	-	1646138	1667291	SLC35E2
uc001aib.1	chr1	-	1653540	1667291	SLC35E2
uc009vkx.1	chr1	-	1675408	1686745	FLJ13052
uc009vkw.1	chr1	-	1672530	1699748	NADK
uc001aic.1	chr1	-	1672530	1699769	NADK
uc001aid.2	chr1	-	1672530	1700150	NADK
uc001aie.1	chr1	-	1672530	1701368	NADK
uc001aif.1	chr1	-	1706588	1812355	GNB1
uc009vky.1	chr1	-	1706588	1812355	GNB1
uc001aig.1	chr1	+	1812769	1813972	CR606168
uc001aih.1	chr1	+	1836125	1838593	CALML6
uc001aii.1	chr1	-	1838889	1840096	TMEM52
uc001aij.1	chr1	-	1838889	1840567	TMEM52
uc001aik.1	chr1	-	1843255	1848702	C1orf222
uc001ail.1	chr1	-	1843255	1849228	C1orf222
uc009vkz.1	chr1	-	1876445	1912274	KIAA1751
uc001aim.1	chr1	-	1874611	1925136	KIAA1751
uc001ain.1	chr1	-	1904969	1925136	KIAA1751
uc001aio.1	chr1	-	1934511	1936829	AK054708
uc001aip.2	chr1	+	1940627	1952052	GABRD
uc009vlb.1	chr1	+	2066655	2078027	PRKCZ
uc001aiu.1	chr1	+	2102434	2104523	AX747530
uc009vlc.1	chr1	-	2103092	2105174	hCG_1770745
uc001aiq.1	chr1	+	1971768	2106694	PRKCZ
uc001air.1	chr1	+	1994945	2106694	PRKCZ
uc001ais.1	chr1	+	2026014	2106694	PRKCZ
uc009vla.1	chr1	+	2065749	2106694	PRKCZ
uc001ait.1	chr1	+	2090146	2106694	PRKCZ
uc001aiz.1	chr1	+	2111096	2113039	BC018779
uc001aiv.1	chr1	-	2105776	2116074	FP7162
uc001aiw.1	chr1	-	2105776	2116074	C1orf86
uc001aiy.1	chr1	-	2110847	2116074	C1orf86
uc001aix.1	chr1	-	2105776	2129032	FP7162
uc001aja.2	chr1	+	2149993	2231416	SKI
uc001ajc.2	chr1	-	2271713	2273474	NM_001127577
uc001ajb.1	chr1	-	2242555	2312853	MORN1
uc009vld.1	chr1	-	2253424	2312853	MORN1
uc001ajd.1	chr1	-	2276475	2312853	MORN1
uc001aje.1	chr1	+	2313073	2326734	RER1
uc001ajf.1	chr1	+	2313073	2326734	RER1
uc001ajg.1	chr1	-	2326100	2333870	PEX10
uc001ajh.1	chr1	-	2326100	2333870	PEX10
uc001aji.1	chr1	+	2397613	2426824	PLCH2
uc009vle.1	chr1	+	2401482	2426824	PLCH2
uc001ajl.1	chr1	+	2420042	2426824	PLCH2
uc001ajj.1	chr1	+	2401482	2426825	PLCH2
uc001ajk.1	chr1	+	2401482	2426829	PLCH2
uc001ajm.1	chr1	-	2429834	2447895	PANK4
uc001ajn.1	chr1	-	2450043	2451544	HES5
uc001ajo.1	chr1	-	2471372	2473405	AK021767
uc001ajp.1	chr1	-	2471372	2473405	BC114357
uc001ajq.1	chr1	-	2471581	2473405	CR749717
uc001ajr.1	chr1	-	2479150	2486613	TNFRSF14
uc001ajs.1	chr1	-	2479150	2486613	TNFRSF14
uc001ajt.1	chr1	-	2479229	2486613	TNFRSF14
uc009vlf.1	chr1	-	2481443	2486613	TNFRSF14
uc001aju.1	chr1	+	2508108	2512762	C1orf93
uc001ajv.1	chr1	+	2508108	2512762	C1orf93
uc001ajw.1	chr1	+	2508108	2512762	C1orf93
uc001ajx.1	chr1	+	2508376	2512762	C1orf93
uc009vlg.1	chr1	-	2511940	2550820	MMEL1
uc001ajy.1	chr1	-	2511940	2554289	MMEL1
uc001ajz.1	chr1	+	2927905	2929327	ACTRT2
uc001aka.1	chr1	-	2966040	2970210	DKFZp761G0122
uc001akb.1	chr1	-	2966040	2974193	AL832943
uc001akc.1	chr1	+	2975603	3345045	PRDM16
uc001akd.1	chr1	+	2975603	3345045	PRDM16
uc001ake.1	chr1	+	2975603	3345045	PRDM16
uc001akf.1	chr1	+	2975603	3345045	PRDM16
uc009vlh.1	chr1	+	2975603	3345045	KIAA1675
uc009vli.1	chr1	+	3378030	3380881	ARHGEF16
uc001akg.2	chr1	+	3361006	3387537	ARHGEF16
uc001aki.1	chr1	+	3372428	3387537	ARHGEF16
uc001akj.1	chr1	+	3373394	3387537	ARHGEF16
uc001akk.1	chr1	-	3394365	3437872	MEGF6
uc001akl.1	chr1	-	3394365	3517919	MEGF6
uc001akm.1	chr1	+	3531415	3536554	TPRG1L
uc009vlj.1	chr1	+	3531415	3536554	TPRG1L
uc001akn.2	chr1	-	3537197	3556497	WDR8
uc001ako.1	chr1	-	3537198	3556497	WDR8
uc009vll.1	chr1	+	3604469	3614958	AK310432
uc001akq.1	chr1	+	3558988	3640317	TP73
uc001akp.2	chr1	+	3558988	3640327	TP73
uc001akr.2	chr1	+	3597095	3640327	TP73
uc009vlk.1	chr1	+	3597095	3640327	TP73
uc001aks.2	chr1	+	3597095	3640327	TP73
uc001akt.2	chr1	-	3642408	3653195	DKFZp434N0450
uc009vlm.1	chr1	-	3642407	3653746	KIAA0495
uc001akv.1	chr1	+	3658821	3678069	CCDC27
uc001akw.2	chr1	+	3679211	3682403	LOC388588
uc001akx.1	chr1	-	3686643	3702928	LRRC47
uc001aky.1	chr1	-	3720273	3763657	KIAA0562
uc001akz.2	chr1	-	3740095	3763657	KIAA0562
uc009vln.1	chr1	+	3763704	3772424	DFFB
uc001ala.1	chr1	+	3763704	3772822	DFFB
uc009vlo.1	chr1	+	3763704	3772910	DFFB
uc001alc.1	chr1	+	3763704	3791853	DFFB
uc001ale.1	chr1	+	3763704	3791853	CAD
uc009vlp.1	chr1	+	3763704	3791853	CAD
uc001alb.1	chr1	+	3763704	3791853	CAD
uc009vlq.1	chr1	+	3763704	3791853	CAD
uc009vlr.1	chr1	+	3763704	3791853	DFFB
uc001ald.1	chr1	+	3763704	3791853	DFFB
uc001alf.1	chr1	-	3795556	3806709	C1orf174
uc009vls.1	chr1	-	3795556	3806709	C1orf174
uc001alg.1	chr1	+	3806830	3823649	BC016994
uc001alh.2	chr1	+	3806830	3823737	BC062787
uc001ali.1	chr1	+	3900536	3915182	AK124708
uc001alj.1	chr1	+	4371970	4383107	AX748168
uc001alk.1	chr1	+	4375472	4383368	BC128214
uc001all.1	chr1	+	4382679	4384604	AX748168
uc001alm.1	chr1	+	4614964	4737714	AJAP1
uc001aln.1	chr1	+	4614964	4743711	AJAP1
uc001alo.2	chr1	+	4749496	4752042	BC037321
uc001alp.1	chr1	-	5544355	5650902	AK125078
uc001alr.1	chr1	-	5845457	5851022	NPHP4
uc009vlu.1	chr1	-	5869143	5888130	KIAA0673
uc001alq.1	chr1	-	5845456	5975118	NPHP4
uc001als.1	chr1	-	5858600	5975118	KIAA0673
uc009vlt.1	chr1	-	5859739	5975118	KIAA0673
uc001alt.1	chr1	-	5859739	5975118	KIAA0673
uc001alu.2	chr1	+	6008966	6081200	KCNAB2
uc009vlv.1	chr1	+	5975352	6083110	KCNAB2
uc001alv.1	chr1	+	6008966	6083110	KCNAB2
uc001alw.1	chr1	+	6008966	6083110	KCNAB2
uc001alx.1	chr1	+	6016929	6083110	KCNAB2
uc001aly.1	chr1	+	6028567	6083110	KCNAB2
uc009vlw.1	chr1	+	6028567	6083110	KCNAB2
uc001alz.1	chr1	-	6084439	6114395	CHD5
uc009vlx.1	chr1	-	6104140	6119512	KIAA0444
uc001ama.1	chr1	-	6084439	6126802	KIAA0444
uc001amc.1	chr1	-	6103751	6129518	KIAA0444
uc001amb.1	chr1	-	6084439	6162770	CHD5
uc001amd.1	chr1	-	6167666	6182266	RPL22
uc001ame.1	chr1	-	6167666	6182266	RPL22
uc001amf.1	chr1	+	6188775	6190953	RNF207
uc001amh.2	chr1	+	6191264	6193546	RNF207
uc001amj.1	chr1	+	6191527	6195830	RNF207
uc001amg.1	chr1	+	6188775	6203946	RNF207
uc001amk.1	chr1	-	6203839	6218631	ICMT
uc001aml.1	chr1	-	6203839	6218631	PCCMT
uc001amm.2	chr1	+	6220457	6222077	C1orf211
uc009vly.1	chr1	+	6226848	6228225	HES3
uc001amo.1	chr1	-	6230000	6232710	GPR153
uc001amp.1	chr1	-	6231442	6243622	GPR153
uc001amq.1	chr1	-	6246918	6341591	ACOT7
uc001amr.1	chr1	-	6246918	6343351	ACOT7
uc001ams.1	chr1	-	6246918	6368470	ACOT7
uc001amt.1	chr1	-	6246918	6376413	ACOT7
uc001amu.1	chr1	-	6246918	6376413	BACH
uc001amv.1	chr1	-	6246918	6376413	BACH
uc001amx.1	chr1	-	6397882	6402566	HES2
uc001amw.2	chr1	-	6395086	6407317	HES2
uc001amy.1	chr1	+	6407434	6443591	ESPN
uc001amz.1	chr1	+	6430689	6443591	ESPN
uc001ana.1	chr1	-	6443800	6448842	TNFRSF25
uc001anb.1	chr1	-	6443800	6448842	TNFRSF25
uc001anc.1	chr1	-	6443800	6448842	TNFRSF25
uc001and.1	chr1	-	6443800	6448842	TNFRSF25
uc009vlz.1	chr1	-	6443800	6448842	TNFRSF25
uc001ane.1	chr1	-	6443800	6448842	TNFRSF25
uc001anf.1	chr1	-	6443800	6448842	TNFRSF25
uc001ang.1	chr1	-	6443800	6448842	TNFRSF25
uc001anh.1	chr1	-	6443800	6448842	TNFRSF25
uc001ani.1	chr1	-	6446757	6448842	TNFRSF25
uc001anr.1	chr1	-	6449885	6451888	KIAA0720
uc001anj.1	chr1	-	6448738	6454230	PLEKHG5
uc009vma.1	chr1	-	6448738	6460305	PLEKHG5
uc001ank.1	chr1	-	6448738	6468601	PLEKHG5
uc009vmb.1	chr1	-	6448738	6473227	PLEKHG5
uc001anl.1	chr1	-	6448738	6473227	PLEKHG5
uc001anm.1	chr1	-	6448738	6474347	PLEKHG5
uc001ann.1	chr1	-	6448738	6479343	PLEKHG5
uc001ano.1	chr1	-	6448738	6480071	PLEKHG5
uc001anq.1	chr1	-	6448738	6502656	PLEKHG5
uc001anp.1	chr1	-	6448738	6502656	PLEKHG5
uc001ans.1	chr1	-	6507794	6537168	NOL9
uc001ant.1	chr1	+	6538020	6562404	TAS1R1
uc001anu.1	chr1	+	6538020	6562404	TAS1R1
uc001anv.1	chr1	+	6538020	6562404	TAS1R1
uc001anw.1	chr1	+	6538020	6562404	TAS1R1
uc009vmc.1	chr1	+	6562642	6571926	ZBTB48
uc009vmd.1	chr1	+	6562655	6571926	ZBTB48
uc001anx.1	chr1	+	6562697	6571926	ZBTB48
uc001any.1	chr1	+	6567948	6571926	pp9964
uc009vme.1	chr1	-	6573370	6582458	KLHL21
uc001anz.1	chr1	-	6573365	6585516	KLHL21
uc001aoa.1	chr1	-	6573370	6585516	KLHL21
uc001aob.2	chr1	+	6596342	6606680	PHF13
uc001aoc.2	chr1	+	6607511	6616208	THAP3
uc001aod.2	chr1	+	6607796	6616208	THAP3
uc001aoe.1	chr1	+	6607796	6618232	THAP3
uc001aof.1	chr1	-	6616817	6684460	DNAJC11
uc001aog.1	chr1	-	6616817	6684460	DNAJC11
uc001aoh.2	chr1	+	6767970	6854684	KIAA0833
uc001aoi.1	chr1	+	6767970	7752351	CAMTA1
uc001aok.2	chr1	+	7662734	7752351	CAMTA1
uc001aoj.1	chr1	+	7718990	7752351	CAMTA1
uc009vmf.1	chr1	+	7727481	7752351	MST023
uc001aom.1	chr1	+	7756088	7760823	VAMP3
uc001aol.1	chr1	+	7753915	7764079	VAMP3
uc001aon.2	chr1	+	7766966	7786604	PER3
uc009vmg.1	chr1	+	7767026	7812808	PER3
uc009vmh.1	chr1	+	7767300	7812808	PER3
uc001aoo.1	chr1	+	7767300	7827824	PER3
uc001aop.1	chr1	+	7767300	7827824	PER3
uc001aor.1	chr1	-	7830261	7835765	UTS2
uc001aos.1	chr1	-	7830261	7836159	UTS2
uc001aoq.2	chr1	-	7825730	7895881	UTS2
uc001aot.1	chr1	-	7902493	7923474	TNFRSF9
uc001aow.2	chr1	+	7944300	7954602	PARK7
uc001aoy.1	chr1	+	7965605	7967928	AX747125
uc001aou.2	chr1	+	7944300	7967929	PARK7
uc001aox.2	chr1	+	7944300	7967929	PARK7
uc001aov.2	chr1	+	7944300	7967929	dj-1
uc001apa.1	chr1	-	7996073	7998339	Mig-6
uc001aoz.1	chr1	-	7994380	8008943	ERRFI1
uc001apb.1	chr1	+	8306976	8326814	SLC45A1
uc001apc.1	chr1	+	8312784	8326814	SLC45A1
uc001apg.1	chr1	-	8363238	8363822	DKFZp566H0824
uc001apd.1	chr1	-	8335050	8406334	RERE
uc001aph.1	chr1	-	8447616	8736484	KIAA0458
uc001ape.1	chr1	-	8335050	8800286	RERE
uc001apf.1	chr1	-	8335050	8800286	RERE
uc001api.1	chr1	-	8843649	8853943	ENO1
uc001apj.1	chr1	-	8843649	8861367	ENO1
uc001apk.1	chr1	-	8843649	8861367	ENO1
uc001apl.1	chr1	-	8843649	8861367	DKFZp666C036
uc009vmi.1	chr1	-	8843649	8861367	ENO1
uc009vmj.1	chr1	-	8843649	8861367	ENO1
uc009vmk.1	chr1	-	8843649	8861367	ENO1
uc009vml.1	chr1	-	8845759	8861367	ENO1
uc009vmm.1	chr1	-	8853592	8861367	ENO1
uc001apm.1	chr1	+	8928508	8957735	CA6
uc009vmn.1	chr1	+	8928508	8957735	CA6
uc009vmo.1	chr1	-	8985945	9008991	SLC2A7
uc001apo.1	chr1	-	9019593	9052257	SLC2A5
uc001app.2	chr1	-	9022727	9052257	SLC2A5
uc001apq.1	chr1	-	9087062	9111816	GPR157
uc001apr.2	chr1	-	9091748	9111816	GPR157
uc001aps.2	chr1	-	9109547	9111943	GPR157
uc009vmp.1	chr1	-	9130932	9164941	EF570048
uc009vmq.1	chr1	-	9130932	9165038	EF609116
uc001apt.1	chr1	+	9217449	9253981	H6PD
uc001apu.1	chr1	+	9275570	9352177	SPSB1
uc001apv.1	chr1	+	9338352	9352177	SPSB1
